rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
55,静岡県,22,伊豆の国市,53.1,303.0,308.0,611.0,0.30350459339911534,2010,2019,2,False,,True,DEM 0.5m（点群 LAS）,,0.9983633387888707,0.0,0.0016366612111292963,0.0
56,千葉県,12,我孫子市,86.5,135.0,464.0,599.0,1.0,2010,2023,8,False,,False,,,0.8163606010016694,0.04340567612687813,0.14023372287145242,0.0
57,埼玉県,11,幸手市,51.7,93.0,445.0,538.0,1.0,2011,2022,9,False,,False,,,0.983271375464684,0.0,0.016728624535315983,0.0
58,宮崎県,45,延岡市,66.6,265.0,268.0,533.0,0.28060171074623935,2011,2022,7,False,,False,,,0.851782363977486,0.0,0.14821763602251406,0.0
59,静岡県,22,焼津市,58.0,308.0,221.0,529.0,0.6957839886309807,2010,2022,7,False,,True,DEM 0.5m（点群 LAS）,,0.9565217391304348,0.005671077504725898,0.03780718336483932,0.0
60,神奈川県,14,横浜市,97.7,230.0,297.0,527.0,1.0,2010,2019,6,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,瀬谷区 137、戸塚区 56、金沢区 52、磯子区 47…,0.571157495256167,0.020872865275142316,0.4079696394686907,0.0
61,大阪府,27,東大阪市,99.8,85.0,436.0,521.0,1.0,2010,2022,8,False,,False,,,0.0710172744721689,0.22840690978886757,0.7005758157389635,0.0
62,埼玉県,11,松伏町,69.0,139.0,369.0,508.0,0.9927927927927928,2013,2023,3,False,,False,,,0.9980314960629921,0.0,0.001968503937007874,0.0
63,静岡県,22,函南町,62.2,360.0,134.0,494.0,0.17660044150110374,2019,2021,2,False,,True,DEM 0.5m（点群 LAS）,,0.9898785425101214,0.010121457489878543,0.0,0.0
64,三重県,24,津市,50.1,110.0,372.0,482.0,0.017084282460136675,2010,2018,8,False,,False,,,0.9979253112033195,0.0,0.002074688796680498,0.0
65,神奈川県,14,平塚市,93.0,95.0,385.0,480.0,1.0,2013,2021,5,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,,0.3145833333333333,0.6020833333333333,0.08333333333333333,0.0
66,福島県,7,福島市,65.5,258.0,215.0,473.0,1.0,2010,2023,11,False,,False,,,0.7949260042283298,0.010570824524312896,0.1945031712473573,0.0
67,千葉県,12,松戸市,97.8,139.0,325.0,464.0,1.0,2010,2018,6,False,,False,,,0.8556034482758621,0.10991379310344827,0.034482758620689655,0.0
68,徳島県,36,徳島市,70.6,127.0,330.0,457.0,0.07593582887700534,2011,2018,5,False,,False,,,0.9277899343544858,0.0,0.07221006564551423,0.0
69,三重県,24,四日市市,67.4,50.0,405.0,455.0,1.0,2011,2022,6,False,,False,,,0.9340659340659341,0.0,0.06593406593406594,0.0
