pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
長野県,飯山市,31,4,2017,2021,0.634,120.0,410.0,0,530.0
静岡県,焼津市,121,7,2010,2022,7.344,308.0,221.0,0,529.0
徳島県,海陽町,33,5,2011,2021,1.343,93.0,432.0,0,525.0
大阪府,東大阪市,281,8,2010,2022,0.094,85.0,436.0,68,521.0
福岡県,みやま市,72,5,2012,2021,3.988,32.0,486.0,0,518.0
埼玉県,松伏町,4,3,2013,2023,0.551,139.0,369.0,0,508.0
神奈川県,川崎市中原区,7,3,2014,2019,0.065,373.0,133.0,0,506.0
高知県,宿毛市,16,3,2014,2019,0.038,68.0,437.0,0,505.0
京都府,京都市右京区,104,8,2010,2020,0.054,190.0,310.0,0,500.0
静岡県,函南町,3,2,2019,2021,0.48,360.0,134.0,0,494.0
大阪府,大阪市東淀川区,2,1,2012,2012,0.024,59.0,429.0,0,488.0
新潟県,南魚沼市,102,6,2011,2022,0.126,99.0,388.0,0,487.0
三重県,津市,85,8,2010,2018,0.09,110.0,372.0,0,482.0
神奈川県,平塚市,68,5,2013,2021,0.116,95.0,385.0,1,480.0
石川県,七尾市,171,10,2010,2023,0.033,58.0,419.0,5,477.0
福島県,福島市,86,11,2010,2023,0.46,258.0,215.0,0,473.0
千葉県,松戸市,32,6,2010,2018,0.086,139.0,325.0,7,464.0
徳島県,徳島市,99,5,2011,2018,0.071,127.0,330.0,1,457.0
三重県,四日市市,58,6,2011,2022,0.067,50.0,405.0,6,455.0
兵庫県,多可町,73,3,2010,2018,0.11,31.0,423.0,0,454.0
宮城県,松島町,82,7,2011,2022,2.232,180.0,272.0,0,452.0
和歌山県,紀の川市,38,7,2011,2023,2.233,169.0,282.0,5,451.0
埼玉県,草加市,109,6,2010,2023,0.22,91.0,359.0,1,450.0
宮崎県,日向市,75,8,2011,2023,0.949,205.0,243.0,1,448.0
和歌山県,田辺市,50,5,2011,2017,0.203,153.0,294.0,0,447.0
新潟県,上越市,180,10,2011,2023,0.469,108.0,338.0,0,446.0
静岡県,袋井市,32,7,2012,2023,0.095,180.0,262.0,0,442.0
和歌山県,那智勝浦町,8,2,2017,2018,0.087,18.0,420.0,0,438.0
岩手県,紫波町,125,2,2013,2017,0.319,110.0,328.0,0,438.0
三重県,鈴鹿市,36,7,2011,2017,0.073,24.0,413.0,0,437.0
愛媛県,松山市,125,7,2010,2022,0.086,31.0,400.0,0,431.0
宮崎県,都城市,180,9,2010,2022,1.465,101.0,323.0,0,424.0
茨城県,境町,53,3,2014,2019,0.794,104.0,309.0,0,413.0
静岡県,富士市,119,6,2010,2023,0.29,110.0,290.0,4,400.0
東京都,板橋区,84,8,2010,2019,0.034,290.0,109.0,0,399.0
新潟県,村上市,82,5,2010,2022,0.695,78.0,317.0,0,395.0
熊本県,宇城市,46,5,2011,2020,2.097,84.0,309.0,2,393.0
滋賀県,甲賀市,48,2,2013,2014,0.142,159.0,234.0,1,393.0
新潟県,新潟市,120,1,2011,2011,0.048,53.0,334.0,0,387.0
福島県,伊達市,90,5,2010,2019,0.167,22.0,364.0,0,386.0
福岡県,嘉麻市,44,3,2010,2018,0.346,111.0,274.0,0,385.0
京都府,宮津市,45,4,2013,2023,0.117,12.0,372.0,0,384.0
宮城県,多賀城市,29,2,2011,2014,0.546,49.0,318.0,0,367.0
兵庫県,加西市,124,5,2011,2018,0.112,24.0,339.0,0,363.0
高知県,いの町,56,3,2010,2019,1.545,173.0,187.0,0,360.0
岡山県,井原市,40,4,2010,2018,0.087,217.0,142.0,0,359.0
佐賀県,江北町,21,3,2012,2021,16.627,14.0,345.0,0,359.0
愛知県,名古屋市守山区,37,5,2011,2023,0.099,70.0,287.0,0,357.0
兵庫県,西脇市,63,7,2010,2023,0.785,108.0,249.0,0,357.0
福岡県,うきは市,53,6,2012,2023,0.236,98.0,257.0,0,355.0
岡山県,岡山市東区,67,6,2011,2018,2.02,60.0,294.0,0,354.0
東京都,練馬区,119,10,2010,2020,0.029,223.0,130.0,0,353.0
静岡県,藤枝市,37,6,2012,2023,0.242,173.0,179.0,3,352.0
神奈川県,小田原市,58,3,2010,2021,0.134,39.0,312.0,2,351.0
宮城県,大河原町,23,5,2011,2019,1.418,136.0,214.0,1,350.0
宮城県,丸森町,53,5,2011,2019,9.806,5.0,342.0,2,347.0
愛知県,春日井市,79,7,2011,2021,1.451,153.0,194.0,13,347.0
宮城県,仙台市若林区,40,6,2010,2019,0.159,205.0,141.0,0,346.0
静岡県,磐田市,23,5,2014,2023,1.633,161.0,185.0,0,346.0
宮城県,登米市,119,6,2010,2022,0.664,36.0,307.0,9,343.0
